Total,Crew,passenger,Ground,T,Incident[a],Phase,Year,Month,days_of_week,surivors,Country,City,accident ,Reason,Aircraft_name,Aircraft_model,flight_company
1700,11,81,1600,INH,American Airlines Flight 11,ENR ,2001,9,Tuesday,no survivors,U.S.,New York City,Hijacked,terrorist attack,Boeing,767-223ER,American Airlines Flight
1000,9,56,900,INH,United Airlines Flight 175,ENR ,2001,9,Tuesday,no survivors,U.S.,New York City,Hijacked,terrorist attack,Boeing,767-222,United Airlines Flight
583,23,560,0,COM,Pan Am Flight 1736 and KLM Flight 4805,TXITOF ,1977,3,Sunday,no survivors,Spain,Tenerife,Collied,System failure,Boeing,747-121,Pan Am Flight
520,15,505,0,COM,Japan Air Lines Flight 123,ENR ,1985,8,Monday,no survivors,Japan,Mount Takamagahara,Exploded,structure failure,Boeing,747SR-46,Japan Air Lines
349,33,316,0,COM,Saudia Flight 763 and Kazakhstan Airlines Flight 1907,ENR ,1996,11,Tuesday,no survivors,India,Charkhi Dadri,Collied,System failure,Boeing,747-168B,Saudia Flight 763
346,11,335,0,COM,Turkish Airlines Flight 981,ENR  ,1974,3,Sunday,no survivors,France,Fontaine-Chaalis,Crashed,System failure,McDonnell,Douglas,Turkish Airlines Flight
329,22,307,0,INB,Air India Flight 182,ENR ,1985,6,Sunday,no survivors,Ireland,Atlantic Ocean,explosion,Bomb planted,Boeing,747-237B,Air India Flight
301,14,287,0,COM,Saudia Flight 163,ENR ,1980,8,Tuesday,no survivors,Saudi Arabia,Riyadh,caught fire ,after takeoff,Lockheed,L-1011-200,Saudia Flight 163
298,15,283,0,EXG,Malaysia Airlines Flight 17,ENR ,2014,7,Thursday,no survivors,Ukraine,near Hrabove,Shot down,missile attack,Boeing,777-2H6ER,Malaysia Airlines Flight
290,16,274,0,EXG,Iran Air Flight 655,ENR ,1988,7,Sunday,no survivors,Iran,Strait of Hormuz,Crashed ,mountain collied,Airbus,A300B2-203,Iran Air Flight
279,12,229,38,COM,Air India Flight 171,ICL ,2025,6,Thursday,survivors,India,Ahmedabad,Crashed,engine problem,Boeing,787-8,Air India Flight
275,18,257,0,MIL,Iranian Revolutionary Guard Corps Aerospace Force (15-2280),ENR ,2003,2,Wednesday,no survivors,Iran,near Kerman,Crashed,Wing failure,Ilyushin,Il-76MD,Iranian Revolutionary Guard
273,13,258,2,COM,American Airlines Flight 191,TOF  ,1979,5,Friday,no survivors,U.S.,Des Plaines,Bomded,terrorist attack,McDonnell,Douglas,American Airlines Flight
270,16,243,11,INB,Pan Am Flight 103,ENR ,1988,12,Wednesday,no survivors,United Kingdom,Lockerbie,Shot down,aircraft,Boeing,747-121,Pan Am Flight
269,23,246,0,EXS,Korean Air Lines Flight 007,ENR ,1983,9,Thursday,no survivors,USSR,Sea of Japan,Crashed,System failure,Boeing,747-230B,Korean Air Lines
265,9,251,5,COM,American Airlines Flight 587,ENR ,2001,11,Monday,no survivors,U.S.,Belle Harbor,Crashed,unable to control,Airbus,A300B4-605R,American Airlines Flight
264,15,249,0,COM,China Airlines Flight 140,APR ,1994,4,Tuesday,no survivors,Japan,Komaki,Crashed ,caught fire,Airbus,A300B4-622R,China Airlines Flight
261,14,247,0,COM,Nigeria Airways Flight 2120,APR ,1991,7,Thursday,no survivors,Saudi Arabia,Jeddah,Collied,mountain collied,McDonnell,Douglas,Nigeria Airways Flight
257,10,247,0,MIL,Algerian Air Force (7T-WIV),ICL ,2018,4,Wednesday,no survivors,Algeria,Boufarik,Crashed,Wing failure,Ilyushin,Il-76TD,Algerian Air Force
257,20,237,0,COM,Air New Zealand Flight 901,ENR ,1979,11,Wednesday,no survivors,Antarctica,Mount Erebus,Crashed,overloaded flight,McDonnell,Douglas,Air New Zealand
256,8,248,0,COM,Arrow Air Flight 1285R,ICL ,1985,12,Thursday,no survivors,Canada,Gander,diappeared,lost signal,McDonnell,Douglas,Arrow Air Flight
251,2,0,249,COM,Air Africa (RA-26222),ICL ,1996,1,Monday,no survivors,DR Congo (then Zaire),Kinshasa,Crashed,mountain collied,Antonov,An-32B,Air Africa (RA-26222)
239,12,227,0,COM,Malaysia Airlines Flight 370,ENR ,2014,3,Saturday,no survivors,Indian Ocean,Indian Ocean,Collied,Misscommunication,Boeing,777-2H6ER,Malaysia Airlines Flight
234,14,220,0,COM,Garuda Indonesia Flight 152,APR ,1997,9,Friday,no survivors,Indonesia,near Medan,Crashed,mountain collied,Airbus,A300B4-220,Garuda Indonesia Flight
230,18,212,0,COM,Trans World Airlines Flight 800,ENR ,1996,7,Wednesday,no survivors,U.S.,Atlantic Ocean,exploded,explosive device,Boeing,747-131,Trans World Airlines
229,14,215,0,COM,Swissair Flight 111,ENR ,1998,9,Wednesday,no survivors,Canada,Atlantic Ocean,Crashed,unable to control,McDonnell,Douglas,Swissair Flight 111
229,14,215,0,COM,Korean Air Flight 801,APR ,1997,8,Wednesday,no survivors,U.S.,Asan-Maina,Crashed,international act,Boeing,747-3B5,Korean Air Flight
228,12,216,0,COM,Air France Flight 447,ENR ,2009,6,Monday,no survivors,area of Saint Peter and Saint Paul Archipelago,Atlantic Ocean,Crashed,Into sea,Airbus,A330-203,Air France Flight
225,19,206,0,COM,China Airlines Flight 611,ENR ,2002,5,Saturday,no survivors,Taiwan,Taiwan Strait,Crashed,while takeoff,Boeing,747-209B,China Airlines Flight
224,7,217,0,INB,Metrojet Flight 9268,ENR ,2015,10,Saturday,no survivors,Egypt,near Hasna,Crashed,higy alltitude,Airbus,A321-231,Metrojet Flight 9268
223,10,213,0,COM,Lauda Air Flight 004,ENR ,1991,5,Sunday,no survivors,Thailand,Phu Toei National Park,exploded ,While landing,Boeing,767-3Z9ER,Lauda Air Flight
217,15,202,0,COM,EgyptAir Flight 990,ENR ,1999,10,Sunday,no survivors,U.S.,Atlantic Ocean,Crashed ,mountain collied,Boeing,767-366ER,EgyptAir Flight 990
213,23,190,0,COM,Air India Flight 855,ENR ,1978,1,Sunday,no survivors,India,Arabian Sea,accident ,terrorist attack,Boeing,747-237B,Air India Flight
202,14,182,6,COM,China Airlines Flight 676,APR ,1998,2,Monday,no survivors,Taiwan,Dayuan District,Hijacked,terrorist attack,Airbus,A300B4-622R,China Airlines Flight
200,9,191,0,COM,Aeroflot Flight 5143,ENR ,1985,7,Wednesday,no survivors,USSR,near Uchkuduk,Hijacked,System failure,Tupolev,Tu-154B-2,Aeroflot Flight 5143
199,6,181,12,COM,TAM Linhas Aéreas Flight 3054,LDG ,2007,7,Tuesday,no survivors,Brazil,São Paulo,Collied,structure failure,Airbus,A320-233,TAM Linhas Aéreas
